Country Name,Country Code,region,"2020 [YR2020] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2020 [YR2020] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population ages 65 and above, total [SP.POP.65UP.TO]",2020 [YR2020] - Population density (people per sq. km of land area) [EN.POP.DNST],2020 [YR2020] - Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],2020 [YR2020] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2020 [YR2020] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2020 [YR2020] - Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"2020 [YR2020] - Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","2020 [YR2020] - Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","2020 [YR2020] - Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","2020 [YR2020] - Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]",2020 [YR2020] - Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"2020 [YR2020] - Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Marshall Islands,MHL,East Asia & Pacific,6030.970261,64.977,..,43413,1698,241.1833333,..,22.206,77.794,28.5,8.3,48.7,13.77944756,..,6.33655882,..
Mauritania,MRT,Sub-Saharan Africa,5612.553809,64.532,..,4498604,148667,4.364610459,..,44.673,55.327,10.7,2.1,19.3,1.771610022,..,1.34919083,..
Mauritius,MUS,Sub-Saharan Africa,21352.39669,74.17707317,2.7127,1266014,149176,633.9579369,..,59.24,40.76,20.2,3,37.3,4.35243988,..,3.4760139,8.63
Mexico,MEX,Latin America & Caribbean,18522.00217,70.133,..,125998302,10106622,64.81560843,17,19.269,80.731,13.1,6.2,19.9,4.625720024,36.27000046,3.30063844,4.44
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,3649.347298,70.674,0.9391,112106,6232,160.1514286,..,77.067,22.933,..,..,..,10.53921604,..,2.79035926,..
Moldova,MDA,Europe & Central Asia,12512.60037,70.166,3.1026,2635130,351930,91.74732605,..,57.151,42.849,29,6.2,51.7,6.601260185,..,4.39417887,1.21
Monaco,MCO,Europe & Central Asia,..,..,..,36922,13236,18215.0962,..,0,100,..,..,..,..,..,1.45236254,..
Mongolia,MNG,East Asia & Pacific,12320.27933,72.141,..,3294335,140348,2.115133618,..,31.343,68.657,29.4,7.1,51.7,4.663455009,44.95077896,3.15984797,6.59
Montenegro,MNE,Europe & Central Asia,20510.82531,75.93170732,2.74,621306,99198,46.19375465,..,32.512,67.488,31.4,31.1,31.6,..,..,7.13466835,17.88
Morocco,MAR,Middle East & North Africa,7968.674316,73.92,..,36688772,2623715,82.20652476,..,36.468,63.532,14.5,0.8,28.2,6.284598827,..,2.60883594,..
Mozambique,MOZ,Sub-Saharan Africa,1302.513708,61.172,0.085,31178239,810673,39.64780259,..,62.926,37.074,14.3,5.6,23,6.642562866,14.0377903,2.41862082,..
Myanmar,MMR,East Asia & Pacific,5224.199055,66.797,..,53423198,3448015,81.85330718,..,68.859,31.141,44.1,19.7,68.5,..,..,0.73733534,1.48
Namibia,NAM,Sub-Saharan Africa,9548.232948,62.829,..,2489098,100377,3.023355075,..,47.967,52.033,15.1,6,24.2,9.277998924,..,4.40352678,..
Nauru,NRU,East Asia & Pacific,11418.55934,63.437,..,12315,261,615.75,..,0,100,48.5,49.1,47.8,6.482572079,..,8.92148685,..
Nepal,NPL,South Asia,3972.515323,69.246,0.8516,29348627,1772598,204.7340565,..,79.424,20.576,30.4,12.8,47.9,4.211066723,..,1.55479288,..
Netherlands,NLD,Europe & Central Asia,59822.95427,81.35853659,4.0794,17441500,3426742,518.013068,8,7.764,92.236,22.2,19.9,24.4,5.423810005,72.95935059,7.66171503,3.82
New Caledonia,NCL,East Asia & Pacific,..,80.83495122,..,272460,28279,14.904814,..,28.482,71.518,..,..,..,..,..,..,13.56
New Zealand,NZL,East Asia & Pacific,45554.93294,82.25609756,3.6183,5090200,792972,19.33158634,..,13.301,86.699,13.7,12.3,15,5.667323112,75.11358643,7.73777819,4.6
Nicaragua,NIC,Latin America & Caribbean,5523.544581,71.795,..,6755895,341737,56.14006149,..,40.988,59.012,..,..,..,4.581561089,..,5.33572912,..
Niger,NER,Sub-Saharan Africa,1282.577817,61.451,0.0345,24333639,592673,19.2102621,..,83.374,16.626,7.4,1.1,13.7,3.819200993,..,2.34244084,..
Nigeria,NGA,Sub-Saharan Africa,5137.598402,52.887,..,208327405,6255100,228.737667,..,48.042,51.958,3.7,0.5,6.9,..,..,0.50597858,..
North Macedonia,MKD,Europe & Central Asia,17324.85624,74.39512195,..,2072531,302290,82.17807296,..,41.518,58.482,..,..,..,..,68.3028183,4.76490688,16.55
Northern Mariana Islands,MNP,East Asia & Pacific,..,..,..,49587,4370,107.7978261,..,8.202,91.798,..,..,..,..,..,..,..
Norway,NOR,Europe & Central Asia,65130.17219,83.2097561,5.047,5379475,953777,14.76721523,..,17.026,82.974,16.2,15.4,17,8.372819901,..,9.78682518,4.42
Oman,OMN,Middle East & North Africa,34952.16348,74.757,1.7738,4543399,125231,14.67980291,..,13.724,86.276,8,0.4,15.5,..,62.22547913,4.80646753,2.94
Pakistan,PAK,South Asia,5284.664584,66.269,..,227196741,9483599,294.7238753,..,62.835,37.165,20.2,7.3,33,2.057182312,..,1.03996059,..
Palau,PLW,East Asia & Pacific,16846.08762,..,1.768,17972,1645,39.06956522,..,19.012,80.988,17.6,7.9,27.3,..,..,13.51063728,0.77
Panama,PAN,Latin America & Caribbean,28096.61231,76.657,..,4294396,359173,57.89156107,..,31.586,68.414,5,2.2,7.7,3.622200966,..,5.8625102,18.55
Papua New Guinea,PNG,East Asia & Pacific,3951.24593,65.787,..,9749640,295764,21.52903767,..,86.655,13.345,39.3,25.1,53.5,..,..,1.72049451,..
Paraguay,PRY,Latin America & Caribbean,14063.2737,73.182,1.0515,6618695,407860,16.65918701,18.6,37.817,62.183,11.5,4.4,18.6,3.936150074,42.33000183,4.11691141,7.55
Peru,PER,Latin America & Caribbean,11813.98844,73.665,..,33304756,2748486,26.01934063,19.7,21.703,78.297,8.1,3,13.2,4.248040199,55.20999908,4.28144789,7.18
Philippines,PHL,East Asia & Pacific,8208.669386,72.119,0.7727,112190977,5858823,376.2651407,..,52.592,47.408,22.9,6.5,39.3,3.876672983,..,2.28181028,2.52
Poland,POL,Europe & Central Asia,35315.71726,76.5,..,37899070,6963590,123.8005749,..,39.957,60.043,24,20.1,27.9,4.852650166,87.77777863,4.66816568,3.16
Portugal,PRT,Europe & Central Asia,34955.70549,80.97560976,..,10297081,2295912,112.406676,12.3,33.69,66.31,25.4,20.2,30.5,4.876560211,43.4513092,6.79872322,6.8
Puerto Rico,PRI,Latin America & Caribbean,34254.93597,78.041,..,3281557,712263,369.9613303,..,6.419,93.581,..,..,..,..,..,..,..
Qatar,QAT,Middle East & North Africa,94005.35835,79.099,..,2760385,34666,240.2423847,..,0.765,99.235,11.8,1.9,21.7,3.233669996,..,3.30993986,0.14
Romania,ROU,Europe & Central Asia,33336.1811,74.25365854,..,19265250,3599884,83.73283206,18,45.806,54.194,28,20,35.9,3.589260101,..,5.02272987,5.03
Russian Federation,RUS,Europe & Central Asia,30011.57422,71.33878049,3.8187,144073139,22051936,8.797354989,9.8,25.246,74.754,26.8,12.8,40.8,3.701467514,..,5.35894442,5.59
Rwanda,RWA,Sub-Saharan Africa,2182.388201,66.774,..,13146362,407814,532.8886096,..,82.568,17.432,13.7,7.2,20.1,3.33394289,10.96208,2.92674851,11.83
Samoa,WSM,East Asia & Pacific,6402.053278,72.768,0.5998,214929,10777,77.31258993,..,82.111,17.889,25.3,14.5,36.1,4.481005192,..,3.85650325,..
San Marino,SMR,Europe & Central Asia,59521.38299,..,..,34007,6699,566.7833333,..,2.501,97.499,..,..,..,3.424619913,..,7.76576805,7.23
Sao Tome and Principe,STP,Sub-Saharan Africa,4286.015397,67.785,..,218641,8283,227.7510417,..,25.646,74.354,5.7,1.3,10.1,5.015238285,..,2.4861083,..
Saudi Arabia,SAU,Middle East & North Africa,47278.69302,76.239,2.7384,35997107,862719,16.7452549,..,15.713,84.287,14.3,2,26.5,..,62.28876877,..,7.66
Senegal,SEN,Sub-Saharan Africa,3574.016928,68.006,..,16436120,521536,85.36913728,..,51.878,48.122,6.9,0.7,13.1,5.688510895,..,1.72161877,..
Serbia,SRB,Europe & Central Asia,19557.57637,74.47804878,..,6899126,1431199,82.04454751,14.6,43.554,56.446,39.8,39.1,40.5,3.562210083,..,5.30452394,9.01
Seychelles,SYC,Sub-Saharan Africa,27920.07349,77.23658537,..,98462,7521,214.0478261,..,42.454,57.546,20.2,6.4,34,4.891200542,..,5.39845753,4.31
Sierra Leone,SLE,Sub-Saharan Africa,1675.212571,59.763,..,8233970,259136,114.0755057,..,57.077,42.923,13.5,6.4,20.5,8.809550285,..,1.36035788,..
Singapore,SGP,East Asia & Pacific,100226.3685,84.46585366,..,5685807,747922,7918.951253,..,0,100,16.5,5,28,2.687449932,74.54988861,3.17285585,4.1
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,32578.99092,74.584,..,42310,3782,1244.411765,..,0,100,..,..,..,..,..,..,..
Slovak Republic,SVK,Europe & Central Asia,32922.07476,76.86585366,..,5458827,918403,113.5363353,..,46.24,53.76,31.5,25.6,37.4,4.764679909,..,5.80533266,6.72
Slovenia,SVN,Europe & Central Asia,40871.82526,80.53170732,..,2102419,422607,104.4088814,5.4,44.882,55.118,22,19.6,24.4,5.386519909,..,6.86089611,4.99
Solomon Islands,SLB,East Asia & Pacific,2607.481827,70.199,..,691191,23935,24.69421222,..,75.33,24.67,36.5,19.2,53.8,..,..,3.60097384,..
Somalia,SOM,Sub-Saharan Africa,1190.56943,55.967,..,16537016,432582,26.36053177,..,53.859,46.141,..,..,..,..,..,..,..
South Africa,ZAF,Sub-Saharan Africa,13533.77625,65.252,..,58801927,3528430,48.47284785,..,32.646,67.354,20.3,6.5,34,6.1833601,49.12731171,5.33053446,24.34
South Sudan,SSD,Sub-Saharan Africa,..,55.48,..,10606227,297038,16.78386372,..,79.801,20.199,..,..,..,..,..,0.4163678,..
Spain,ESP,Europe & Central Asia,37988.02953,82.33170732,..,47365655,9318013,94.81538375,16.5,19.19,80.81,27.7,26.7,28.6,4.899869919,53.2567482,7.84911251,15.53
Sri Lanka,LKA,South Asia,13664.22666,76.393,1.2291,21919000,2367905,354.3323634,..,81.287,18.713,22,2.6,41.4,1.555410743,64.82656097,1.86251867,5.36
St. Kitts and Nevis,KNA,Latin America & Caribbean,28196.74404,71.627,..,47642,4380,183.2384615,..,69.157,30.843,..,..,..,3.10357976,..,2.74555492,..
St. Lucia,LCA,Latin America & Caribbean,12303.54217,73.416,..,179237,15982,293.8311475,..,81.159,18.841,..,..,..,3.617219925,..,2.84342837,20.41
St. Martin (French part),MAF,Latin America & Caribbean,..,80.149,..,32553,3208,651.06,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,14457.85563,72.126,..,104632,11169,268.2871795,..,46.968,53.032,..,..,..,5.463758469,..,3.26209617,..
Sudan,SDN,Sub-Saharan Africa,4091.842285,65.614,..,44440486,1483417,23.79041006,..,64.747,35.253,..,..,..,..,..,1.03126121,..
Suriname,SUR,Latin America & Caribbean,16187.82332,72.561,..,607065,43191,3.891442308,..,33.851,66.149,..,..,..,5.320321083,..,4.37696552,..
Sweden,SWE,Europe & Central Asia,56140.5524,82.35609756,..,10353442,2074063,25.42072337,10.1,12.023,87.977,24,18.2,29.8,7.925610065,..,9.77640724,8.29
Switzerland,CHE,Europe & Central Asia,70810.82069,83,4.3804,8638167,1617570,218.6344696,..,26.085,73.915,25.5,22.9,28.1,5.291639805,..,4.20692682,4.82
Syrian Arab Republic,SYR,Middle East & North Africa,..,72.14,..,20772595,945397,113.1220117,..,44.525,55.475,..,..,..,..,..,..,..
Tajikistan,TJK,Europe & Central Asia,3856.501523,67.994,..,9543207,308836,68.76004755,..,72.494,27.506,..,..,..,5.960922241,..,2.1510756,..
Tanzania,TZA,Sub-Saharan Africa,2694.42627,66.408,..,61704518,1929919,69.65965003,..,64.773,35.227,8.7,3.4,14,3.230972528,..,1.60523546,2.78
Thailand,THA,East Asia & Pacific,17810.25075,79.274,0.9499,71475664,9899641,139.9042142,10.6,48.57,51.43,22.1,2.9,41.3,3.153170824,..,3.06738973,1.1
Timor-Leste,TLS,East Asia & Pacific,5128.549906,68.475,0.7562,1299995,69836,87.42400807,..,68.68,31.32,39.2,10.8,67.6,3.660026789,..,5.44570112,..
Togo,TGO,Sub-Saharan Africa,2179.75656,61.035,0.0827,8442580,258187,155.2230189,..,57.2,42.8,6.8,1.2,12.3,4.091336727,..,1.24389136,..
Tonga,TON,East Asia & Pacific,6713.152994,70.928,0.9461,105254,6507,146.1861111,..,76.901,23.099,31,15.3,46.7,4.860516548,..,3.03655863,..
Trinidad and Tobago,TTO,Latin America & Caribbean,24701.55063,74.406,..,1518147,162053,295.9350877,..,46.786,53.214,..,..,..,4.206779957,..,3.38081074,4.21
Tunisia,TUN,Middle East & North Africa,10602.52127,75.292,..,12161723,1043292,78.28091529,..,30.432,69.568,24.6,2,47.2,..,..,3.72313976,..
Turkiye,TUR,Europe & Central Asia,27724.38862,75.85,..,84135428,6884041,109.3193197,..,23.895,76.105,30.7,19.2,42.1,4.008609772,..,3.6410346,13.11
Turkmenistan,TKM,Europe & Central Asia,..,68.687,..,6250438,294757,13.30078522,..,47.484,52.516,5.5,0.4,10.6,3.779779911,..,1.00819516,..
Turks and Caicos Islands,TCA,Latin America & Caribbean,19509.71181,75.001,..,44276,4416,46.60631579,..,6.395,93.605,..,..,..,2.924562693,..,..,..
Tuvalu,TUV,East Asia & Pacific,4834.397142,64.382,1.1864,11069,664,368.9666667,..,35.986,64.014,35.6,21.3,49.8,..,..,18.08883476,..
Uganda,UGA,Sub-Saharan Africa,2365.988411,62.851,0.1537,44404611,739255,221.447292,..,75.046,24.954,8.4,3.7,13,2.572221756,..,0.67256367,..
Ukraine,UKR,Europe & Central Asia,13102.7959,71.18512195,..,44132049,7586325,76.16853469,5.1,30.392,69.608,25.8,11.5,40,5.382319927,..,3.75391006,9.48
United Arab Emirates,ARE,Middle East & North Africa,71458.63852,78.946,..,9287289,153610,130.7700507,..,12.952,87.048,..,..,..,3.984179974,..,3.45929488,4.29
United Kingdom,GBR,Europe & Central Asia,45872.02729,80.35121951,3.0037,67081234,12559292,277.2753854,11.5,16.097,83.903,15.4,13.5,17.3,5.497700214,79.91113281,10.02466106,..
United States,USA,North America,63528.6343,76.9804878,..,331511512,53782439,36.24098511,17,17.336,82.664,23,17.5,28.4,5.435440063,90.94052124,10.68158436,8.05
Uruguay,URY,Latin America & Caribbean,23309.78652,78.43,..,3429086,525958,19.592538,18,4.485,95.515,21.5,18.5,24.4,4.543069839,..,6.56739044,10.33
Uzbekistan,UZB,Europe & Central Asia,7822.661958,70.331,..,34232050,1666255,77.68535119,..,49.584,50.416,17.6,1.1,34,4.948036671,..,3.11443138,5.29
Vanuatu,VUT,East Asia & Pacific,3008.551637,70.299,..,311685,11574,25.56890894,..,74.475,25.525,17.8,2.6,33,2.173589945,..,2.60831356,4.05
"Venezuela, RB",VEN,Latin America & Caribbean,..,71.095,..,28490453,2277624,32.30026983,..,11.721,88.279,..,..,..,..,..,1.67663467,7.53
Viet Nam,VNM,East Asia & Pacific,11036.00053,75.378,..,96648685,8144980,308.3591021,13.9,62.66,37.34,24.8,2.2,47.4,3.216528893,..,2.11166167,2.1
Virgin Islands (U.S.),VIR,Latin America & Caribbean,..,79.8195122,..,106290,20880,303.6857143,..,4.061,95.939,..,..,..,..,..,..,..
West Bank and Gaza,PSE,Middle East & North Africa,5705.155021,74.403,..,4803269,164863,797.8852159,..,23.281,76.719,..,..,..,..,45.90417099,..,25.89
"Yemen, Rep.",YEM,Middle East & North Africa,..,64.65,..,32284046,877605,61.1475008,..,62.092,37.908,20.3,8.1,32.5,..,..,..,..
Zambia,ZMB,Sub-Saharan Africa,3361.978869,62.38,..,18927715,327423,25.46135272,..,55.371,44.629,14.4,3.7,25.1,3.949648142,..,2.44180179,6.03
Zimbabwe,ZWE,Sub-Saharan Africa,2101.804597,61.124,0.199,15669666,529049,40.50579294,..,67.758,32.242,11.7,1.5,21.8,..,..,0.75678271,..
